sector,amount,objective,end_month,end-year,end_quarter,start_month,start_year,start_quarter,Is_Weekend,result,reach,impressions
Ecommerce & Retail,69.94,post engagement,3,2019,1,3,2019,1,False,10.048107242146072,10.407620832440994,11.347118783793917
Ecommerce & Retail,19.65,Messages,1,2022,1,1,2022,1,False,2.5649493574615367,9.616138757874468,10.245373679001421
Ecommerce & Retail,5.48,post engagement,10,2021,4,10,2021,4,False,5.204006687076795,7.85243908535751,7.969011781106478
Travel,18.45,post engagement,1,2022,1,1,2022,1,False,7.549609165154532,10.638376304675711,11.047089140435771
Ecommerce & Retail,33.15,Traffic,5,2020,2,5,2020,2,False,7.9269635448629785,11.53790096437362,12.206617497071612
Travel,35.19,Messages,8,2021,3,8,2021,3,False,4.356708826689592,10.431730608339187,10.759136162440722
Ecommerce & Retail,14.0,post engagement,3,2021,1,3,2021,1,True,8.777555453213056,10.847276713112093,11.188800683801905
Travel,22.96,Messages,9,2021,3,9,2021,3,False,3.4011973816621555,9.447860089234899,10.077692928727824
Automotive,5.15,post engagement,5,2021,2,5,2021,2,False,8.762958920766726,9.455010553834672,9.712387577930592
Ecommerce & Retail,69.88,Traffic,5,2021,2,4,2021,2,False,8.336630087637147,11.852863118663018,13.287671014839024
Automotive,37.5,Traffic,7,2021,3,7,2021,3,False,7.629975707027789,11.157192933963753,12.101300845434219
Ecommerce & Retail,5.54,post engagement,10,2020,4,10,2020,4,False,5.942799375126701,9.603800372956915,9.809012024313242
Ecommerce & Retail,50.82,post engagement,11,2021,4,11,2021,4,False,7.157735484249907,10.819338187581879,11.54029741176608
Ecommerce & Retail,100.07,Messages,7,2021,3,7,2021,3,True,4.700480365792417,11.163325434703458,12.220818390676014
B2B,0.34,pages likes,10,2020,4,9,2020,3,False,1.3862943611198906,5.517452896464707,5.697093486505405
